test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,tool_call_valid,quality_pass
A_Q8_1,Qwen3.5 8bit mlx-lm,mlx-lm,MLX,8bit,default,short,1,216.7,65.8,106.2,275,23,4.38,16.0,0,151,6041.3,1414.8,0.0,,
A_Q8_1,Qwen3.5 8bit mlx-lm,mlx-lm,MLX,8bit,default,short,2,186.5,58.6,123.3,275,23,4.86,16.0,0,151,6041.3,1416.9,0.0,,
A_Q8_1,Qwen3.5 8bit mlx-lm,mlx-lm,MLX,8bit,default,short,3,255.3,64.8,90.1,275,23,4.49,16.0,0,151,6041.3,1416.9,0.0,,
A_Q8_1,Qwen3.5 8bit mlx-lm,mlx-lm,MLX,8bit,default,code,1,237.7,66.0,3159.8,506,751,7.89,16.0,0,252,748.9,1250.6,0.0,,
A_Q8_1,Qwen3.5 8bit mlx-lm,mlx-lm,MLX,8bit,default,code,2,259.4,66.7,2894.8,506,751,7.83,16.0,0,252,748.9,1250.6,0.0,,
A_Q8_1,Qwen3.5 8bit mlx-lm,mlx-lm,MLX,8bit,default,code,3,212.7,65.8,3530.2,506,751,7.89,16.0,0,252,748.9,1254.2,0.0,,
B_Q4_4,Coder llama.cpp Q4_K_M,llama-server,GGUF,Q4_K_M,default,short,1,1195.0,3.1,19.2,242,23,79.86,52.5,0,133,678.8,2050.5,0.0,,
B_Q4_4,Coder llama.cpp Q4_K_M,llama-server,GGUF,Q4_K_M,default,short,2,1654.9,28.6,13.9,242,23,10.07,52.5,0,133,678.8,2050.5,0.0,,
B_Q4_4,Coder llama.cpp Q4_K_M,llama-server,GGUF,Q4_K_M,default,short,3,462.9,4.3,49.7,242,23,56.81,52.5,0,133,678.8,2050.5,0.0,,
B_Q4_4,Coder llama.cpp Q4_K_M,llama-server,GGUF,Q4_K_M,default,code,1,6703.6,2.0,112.0,506,751,260.02,52.5,0,246,2010.4,210.8,0.0,,
B_Q4_4,Coder llama.cpp Q4_K_M,llama-server,GGUF,Q4_K_M,default,code,2,4800.2,18.4,156.5,506,751,32.27,52.5,0,246,2010.4,210.8,0.0,,
B_Q4_4,Coder llama.cpp Q4_K_M,llama-server,GGUF,Q4_K_M,default,code,3,4020.3,5.3,186.8,506,751,99.89,52.5,0,246,2010.4,210.8,0.0,,
B_Q4_5,Coder llama.cpp Q4 kv-q8,llama-server,GGUF,Q4_K_M,kv-q8,short,1,205.4,37.6,112.0,242,23,6.61,28.4,0,133,232.7,21518.3,0.0,,
B_Q4_5,Coder llama.cpp Q4 kv-q8,llama-server,GGUF,Q4_K_M,kv-q8,short,2,367.5,38.9,62.6,242,23,6.56,28.4,0,133,232.7,21518.3,0.0,,
B_Q4_5,Coder llama.cpp Q4 kv-q8,llama-server,GGUF,Q4_K_M,kv-q8,short,3,219.9,38.7,104.6,242,23,6.44,28.4,0,133,232.7,21518.3,0.0,,
B_Q4_5,Coder llama.cpp Q4 kv-q8,llama-server,GGUF,Q4_K_M,kv-q8,code,1,1519.4,36.6,494.3,506,751,15.3,28.4,0,249,1784.1,21550.9,0.0,,
B_Q4_5,Coder llama.cpp Q4 kv-q8,llama-server,GGUF,Q4_K_M,kv-q8,code,2,1628.3,37.6,461.2,506,751,15.07,28.4,0,249,1784.1,21553.6,0.0,,
B_Q4_5,Coder llama.cpp Q4 kv-q8,llama-server,GGUF,Q4_K_M,kv-q8,code,3,1376.5,36.3,545.6,506,751,15.27,28.4,0,249,1784.1,21553.8,0.0,,
