test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,short,1,187.7,89.5,122.5,275,23,3.25,9.4,0,151,2251.1,4175.1,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,short,2,178.1,91.6,129.2,275,23,3.17,9.4,0,151,2251.1,4177.2,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,short,3,174.7,95.0,131.6,275,23,3.06,9.4,0,151,2251.1,4177.7,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,code,1,173.1,93.8,4338.5,505,751,5.54,9.4,0,263,708.4,4178.2,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,code,2,186.1,94.3,4035.4,505,751,5.53,9.4,0,263,708.4,4178.2,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,code,3,192.7,94.0,3897.8,505,751,5.55,9.4,0,263,708.4,4178.2,0.0,0.31.2,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,short,1,132.9,49.4,173.1,183,23,3.82,12.9,0,148,1213.3,13830.9,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,short,2,128.8,45.6,178.6,183,23,4.12,12.9,0,148,1213.3,13830.9,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,short,3,136.4,46.2,168.6,183,23,4.08,12.9,0,148,1213.3,13830.9,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,code,1,1099.0,37.0,683.3,283,751,8.71,12.9,0,269,1007.7,13721.8,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,code,2,1089.3,36.7,689.4,283,751,8.77,12.9,0,269,1007.7,13721.8,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,code,3,994.4,35.8,755.2,283,751,8.87,12.9,0,269,1007.7,13721.8,0.0,0.4.3,,
A_Q4_3,Qwen3.5 4bit mlx-vlm kv4,mlx-vlm,MLX,4bit,kv4,short,1,133.3,43.8,172.5,183,23,4.29,14.4,0,148,2050.1,4385.0,0.0,0.4.3,,
A_Q4_3,Qwen3.5 4bit mlx-vlm kv4,mlx-vlm,MLX,4bit,kv4,short,2,134.2,44.2,171.4,183,23,4.25,14.4,0,148,2050.1,4385.0,0.0,0.4.3,,
A_Q4_3,Qwen3.5 4bit mlx-vlm kv4,mlx-vlm,MLX,4bit,kv4,short,3,130.7,44.6,176.0,183,23,4.21,14.4,0,148,2050.1,4385.0,0.0,0.4.3,,
A_Q4_3,Qwen3.5 4bit mlx-vlm kv4,mlx-vlm,MLX,4bit,kv4,code,1,1013.0,37.7,741.3,283,751,8.5,14.4,0,269,1041.4,4386.1,0.0,0.4.3,,
A_Q4_3,Qwen3.5 4bit mlx-vlm kv4,mlx-vlm,MLX,4bit,kv4,code,2,970.2,38.6,774.0,283,751,8.28,14.4,0,269,1041.4,4386.4,0.0,0.4.3,,
A_Q4_3,Qwen3.5 4bit mlx-vlm kv4,mlx-vlm,MLX,4bit,kv4,code,3,1021.2,38.3,735.4,283,751,8.39,14.4,0,269,1041.4,4386.4,0.0,0.4.3,,
A_Q4_4,Qwen3.5 4bit mlx-vlm kv2,mlx-vlm,MLX,4bit,kv2,short,1,128.5,43.5,179.0,183,23,4.32,12.3,0,148,2592.2,4260.8,0.0,0.4.3,,
