test_id,test_name,model,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,short,1,6265.2,66.5,3.7,389,23,12.1,7.2,0,269,6565.0,15599.9,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,short,2,6559.3,64.5,3.5,389,23,12.57,7.2,0,269,6565.0,15599.9,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,short,3,6767.9,61.2,3.4,389,23,13.11,7.2,0,269,6565.0,15600.1,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,long,1,10553.0,54.5,13.0,518,137,20.04,7.2,0,305,10839.0,15601.3,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,long,2,10401.6,57.5,13.2,518,137,19.39,7.2,0,305,10839.0,15601.3,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,long,3,10293.6,57.7,13.3,518,137,19.26,7.2,0,305,10839.0,15601.4,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,code,1,9852.9,299.6,76.2,476,751,11.44,7.2,0,191,9786.2,15603.2,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,code,2,9969.6,298.2,75.3,476,751,11.56,7.2,0,191,9786.2,15603.3,0.0,0.6.3,,
DG_Q4_2,DiffusionGemma mlx-vlm 4bit kv4,DiffusionGemma,mlx-vlm,MLX,4bit,kv4,code,3,9973.4,298.7,75.3,476,751,11.56,7.2,0,191,9786.2,15603.3,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,short,1,213.9,83.1,107.5,553,23,6.85,9.2,0,345,779.4,15960.7,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,short,2,210.1,81.5,109.4,553,23,6.98,9.2,0,345,779.4,15960.7,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,short,3,218.3,84.1,105.4,553,23,6.78,9.2,0,345,779.4,15960.7,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,long,1,268.2,83.3,510.8,548,137,6.84,9.2,0,309,268.1,15962.9,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,long,2,266.9,85.0,513.4,548,137,6.7,9.2,0,309,268.1,15962.9,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,long,3,264.5,85.2,517.9,548,137,6.69,9.2,0,309,268.1,15962.9,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,code,1,710.3,100.6,1057.3,678,751,7.44,9.2,0,422,709.6,15966.1,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,code,2,723.6,101.4,1037.9,678,751,7.4,9.2,0,422,709.6,15966.1,0.0,0.6.3,,
NC_Q4_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,code,3,727.1,101.0,1032.9,678,751,7.43,9.2,0,422,709.6,15966.1,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,short,1,213.3,71.7,107.8,526,23,7.53,7.2,0,343,1018.1,13755.8,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,short,2,211.0,71.7,109.0,526,23,7.53,7.2,0,343,1018.1,13755.8,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,short,3,212.7,71.6,108.1,526,23,7.54,7.2,0,343,1018.1,13755.8,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,long,1,272.7,77.2,502.3,563,137,7.56,7.2,0,301,273.0,13753.2,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,long,2,273.2,77.6,501.4,563,137,7.51,7.2,0,301,273.0,13753.2,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,long,3,272.7,77.5,502.4,563,137,7.52,7.2,0,301,273.0,13753.2,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,code,1,761.6,90.3,986.1,677,751,8.25,7.2,0,418,734.6,13745.7,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,code,2,792.2,89.5,948.0,677,751,8.35,7.2,0,418,734.6,13745.7,0.0,0.6.3,,
NC_Q4_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,code,3,761.8,90.0,985.9,677,751,8.27,7.2,0,418,734.6,13745.7,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-32k,1,34460.4,65.9,947.3,582,32645,43.28,7.2,0,322,35383.9,14566.1,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-32k,2,34634.9,66.1,942.5,582,32645,43.43,7.2,0,322,35383.9,14571.5,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-32k,3,34631.1,66.2,942.6,582,32645,43.4,7.2,0,322,35383.9,14571.6,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-64k,1,87718.3,53.7,748.5,550,65654,97.95,7.2,0,298,87412.6,14592.3,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-64k,2,87420.9,52.9,751.0,550,65654,97.81,7.2,0,298,87412.6,14594.9,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-64k,3,88379.3,52.4,742.9,550,65654,98.85,7.2,0,298,87412.6,14594.9,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-128k,1,261193.7,50.4,502.2,691,131176,274.87,7.2,0,321,260802.9,14636.7,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-128k,2,258094.3,49.6,508.2,691,131176,272.01,7.2,0,321,260802.9,14636.7,0.0,0.6.3,,
NC_CTX_1,NorthCode mlx-vlm 4bit,NorthCode,mlx-vlm,MLX,4bit,default,context-128k,3,264092.4,49.6,496.7,691,131176,278.01,7.2,0,321,260802.9,14636.7,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-32k,1,41123.9,63.9,793.8,634,32645,51.02,9.2,0,373,42206.3,14079.4,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-32k,2,41160.5,63.8,793.1,634,32645,51.07,9.2,0,373,42206.3,14079.5,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-32k,3,41169.6,63.8,792.9,634,32645,51.09,9.2,0,373,42206.3,14084.9,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-64k,1,113020.3,50.6,580.9,589,65654,124.63,9.2,0,291,114386.5,14099.4,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-64k,2,113078.8,50.2,580.6,589,65654,124.78,9.2,0,291,114386.5,14099.5,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-64k,3,113092.6,51.2,580.5,589,65654,124.57,9.2,0,291,114386.5,14099.5,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-128k,1,374389.7,44.8,350.4,647,131176,388.82,9.2,0,287,378915.9,13950.1,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-128k,2,366873.9,35.9,357.6,512,131176,381.13,9.2,0,147,378915.9,13950.2,0.0,0.6.3,,
NC_CTX_2,NorthCode mlx-vlm 4bit kv4,NorthCode,mlx-vlm,MLX,4bit,kv4,context-128k,3,371483.1,42.3,353.1,613,131176,385.94,9.2,0,293,378915.9,13950.2,0.0,0.6.3,,
