test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
F_TQ4_1,Qwen3.5 TurboQuant 4bit,mlx-lm-turboquant,MLX,4bit,tq4bit,short,1,184.3,87.0,124.8,275,23,3.33,11.9,0,151,1808.7,8607.1,0.0,0.31.2,,
F_TQ4_1,Qwen3.5 TurboQuant 4bit,mlx-lm-turboquant,MLX,4bit,tq4bit,short,2,199.2,88.5,115.5,275,23,3.29,11.9,0,151,1808.7,8607.3,0.0,0.31.2,,
F_TQ4_1,Qwen3.5 TurboQuant 4bit,mlx-lm-turboquant,MLX,4bit,tq4bit,short,3,165.0,92.5,139.4,275,23,3.13,11.9,0,151,1808.7,8607.5,0.0,0.31.2,,
F_TQ4_1,Qwen3.5 TurboQuant 4bit,mlx-lm-turboquant,MLX,4bit,tq4bit,code,1,204.0,89.9,3680.6,505,751,5.81,11.9,0,263,832.0,8457.3,0.0,0.31.2,,
F_TQ4_1,Qwen3.5 TurboQuant 4bit,mlx-lm-turboquant,MLX,4bit,tq4bit,code,2,179.7,94.9,4179.2,505,751,5.49,11.9,0,263,832.0,8461.6,0.0,0.31.2,,
F_TQ4_1,Qwen3.5 TurboQuant 4bit,mlx-lm-turboquant,MLX,4bit,tq4bit,code,3,171.8,92.8,4371.5,505,751,5.6,11.9,0,263,832.0,8461.7,0.0,0.31.2,,
F_TQ35_1,Qwen3.5 TurboQuant 3.5bit,mlx-lm-turboquant,MLX,4bit,tq3.5bit,short,1,182.8,85.7,125.8,275,23,3.38,12.0,0,151,2195.3,4081.3,0.0,0.31.2,,
F_TQ35_1,Qwen3.5 TurboQuant 3.5bit,mlx-lm-turboquant,MLX,4bit,tq3.5bit,short,2,195.2,84.1,117.8,275,23,3.45,12.0,0,151,2195.3,4081.4,0.0,0.31.2,,
F_TQ35_1,Qwen3.5 TurboQuant 3.5bit,mlx-lm-turboquant,MLX,4bit,tq3.5bit,short,3,170.4,90.1,135.0,275,23,3.21,12.0,0,151,2195.3,4081.4,0.0,0.31.2,,
F_TQ35_1,Qwen3.5 TurboQuant 3.5bit,mlx-lm-turboquant,MLX,4bit,tq3.5bit,code,1,369.1,93.6,2034.8,505,751,5.75,12.0,0,263,854.9,3906.2,0.0,0.31.2,,
F_TQ35_1,Qwen3.5 TurboQuant 3.5bit,mlx-lm-turboquant,MLX,4bit,tq3.5bit,code,2,275.3,89.5,2728.1,505,751,5.91,12.0,0,263,854.9,3910.9,0.0,0.31.2,,
F_TQ35_1,Qwen3.5 TurboQuant 3.5bit,mlx-lm-turboquant,MLX,4bit,tq3.5bit,code,3,180.1,95.2,4170.9,505,751,5.48,12.0,0,263,854.9,3910.9,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-32k,1,319.4,69.2,102212.7,506,32645,7.61,11.3,0,268,37324.2,345.9,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-32k,2,291.3,63.2,112059.0,506,32645,8.28,11.3,0,268,37324.2,348.8,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-32k,3,292.7,68.4,111538.7,506,32645,7.68,11.3,0,268,37324.2,350.4,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-64k,1,1686.3,48.6,38933.1,506,65654,12.07,11.3,0,250,105110.6,370.7,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-64k,2,1761.7,49.2,37266.4,506,65654,12.02,11.3,0,250,105110.6,382.3,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-64k,3,416.6,46.4,157611.5,506,65654,11.3,11.3,0,250,105110.6,382.3,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-128k,1,1008.4,35.7,130081.2,510,131176,15.25,11.3,0,260,297574.5,418.2,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-128k,2,670.1,39.3,195751.2,510,131176,13.63,11.3,0,260,297574.5,418.4,0.0,0.31.2,,
F_CTX_1,Qwen3.5 TurboQuant 4bit ctx,mlx-lm-turboquant,MLX,4bit,tq4bit,context-128k,3,708.4,38.6,185176.1,510,131176,13.9,11.3,0,260,297574.5,418.4,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-32k,1,324.5,70.3,100597.0,506,32645,7.51,10.4,0,268,32625.2,3677.9,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-32k,2,292.5,69.3,111616.7,506,32645,7.58,10.4,0,268,32625.2,3679.8,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-32k,3,280.3,69.2,116483.7,506,32645,7.58,10.4,0,268,32625.2,3685.5,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-64k,1,501.7,52.5,130865.2,506,65654,10.12,10.4,0,250,85760.3,3709.9,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-64k,2,417.2,50.1,157383.9,506,65654,10.49,10.4,0,250,85760.3,3710.0,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-64k,3,431.8,57.4,152037.9,506,65654,9.24,10.4,0,250,85760.3,3710.0,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-128k,1,744.2,36.1,176268.3,510,131176,14.86,10.4,0,260,360110.3,3749.4,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-128k,2,583.0,36.1,224998.7,510,131176,14.68,10.4,0,260,360110.3,3758.9,0.0,0.31.2,,
F_CTX_2,Qwen3.5 TurboQuant 3bit ctx,mlx-lm-turboquant,MLX,4bit,tq3bit,context-128k,3,588.7,34.4,222829.7,510,131176,15.37,10.4,0,260,360110.3,3758.9,0.0,0.31.2,,
