test_id,test_name,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,short,1,176.2,93.2,130.6,275,23,3.11,10.5,0,151,2220.1,2945.8,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,short,2,163.1,94.1,141.0,275,23,3.07,10.5,0,151,2220.1,2948.1,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,short,3,170.4,93.9,135.0,275,23,3.09,10.5,0,151,2220.1,2949.5,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,code,1,759.6,96.7,988.7,505,751,5.97,10.5,0,263,697.8,2791.7,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,code,2,195.8,95.4,3835.8,505,751,5.48,10.5,0,263,697.8,2792.8,0.0,0.31.2,,
A_Q4_1,Qwen3.5 4bit mlx-lm,mlx-lm,MLX,4bit,default,code,3,170.3,94.8,4409.3,505,751,5.49,10.5,0,263,697.8,2795.7,0.0,0.31.2,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,short,1,118.1,55.6,194.8,183,23,3.39,16.3,0,148,2299.9,1538.8,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,short,2,119.0,55.2,193.2,183,23,3.42,16.3,0,148,2299.9,1538.8,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,short,3,117.9,55.4,195.1,183,23,3.4,16.3,0,148,2299.9,1538.9,0.0,0.4.3,,
A_Q4_2,Qwen3.5 4bit mlx-vlm,mlx-vlm,MLX,4bit,default,code,1,629.2,46.6,1193.6,283,751,6.68,16.3,0,269,628.7,1540.0,0.0,0.4.3,,
