test_id,test_name,model,backend,fmt,quant,kv_cache,prompt_type,run_num,ttft_ms,decode_tps,prefill_tps,completion_tokens,prompt_tokens,total_time_s,model_load_s,thinking_tokens,visible_tokens,cold_ttft_ms,peak_mem_mb,peak_cpu_pct,backend_version,tool_call_valid,quality_pass
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,short,1,214.3,30.4,107.4,512,23,17.04,7.2,0,279,1258.8,3899.0,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,short,2,238.2,30.5,96.5,512,23,16.99,7.2,0,279,1258.8,3899.1,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,short,3,226.0,30.2,101.8,512,23,17.14,7.2,0,279,1258.8,3899.1,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,long,1,374.6,29.8,365.7,512,137,17.55,7.2,0,297,498.8,3899.5,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,long,2,390.7,30.2,350.6,512,137,17.34,7.2,0,297,498.8,3899.5,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,long,3,377.2,30.2,363.2,512,137,17.28,7.2,0,297,498.8,3899.5,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,code,1,2056.4,29.5,365.2,512,751,19.36,7.2,0,201,2040.5,3899.7,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,code,2,2071.0,29.3,362.6,512,751,19.54,7.2,0,201,2040.5,3899.7,0.0,0.6.1,,
W_QAT_MLX_1,Gemma4-12B mlx-vlm QAT-4bit,Gemma4-12B,mlx-vlm,MLX,QAT-4bit,default,code,3,2116.8,29.4,354.8,512,751,19.48,7.2,0,201,2040.5,3899.8,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,short,1,208.6,30.1,110.3,512,23,17.2,7.3,0,275,321.5,11220.2,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,short,2,217.7,30.1,105.6,512,23,17.19,7.3,0,275,321.5,11220.2,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,short,3,237.0,30.3,97.0,512,23,17.11,7.3,0,275,321.5,11220.2,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,long,1,358.3,29.8,382.3,512,137,17.53,7.3,0,308,354.5,11220.3,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,long,2,369.8,30.0,370.4,512,137,17.38,7.3,0,308,354.5,11220.3,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,long,3,355.8,30.1,385.0,512,137,17.34,7.3,0,308,354.5,11220.3,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,code,1,2035.9,29.4,368.9,512,751,19.42,7.3,0,210,2031.0,11220.4,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,code,2,2064.8,29.4,363.7,512,751,19.42,7.3,0,210,2031.0,11220.5,0.0,0.6.1,,
W_QAT_NVFP4_1,Gemma4-12B mlx-vlm QAT-nvfp4,Gemma4-12B,mlx-vlm,NVFP4,QAT-nvfp4,default,code,3,2077.0,29.5,361.6,512,751,19.42,7.3,0,210,2031.0,11220.5,0.0,0.6.1,,
